title,authors,first_author_last_name,doi,journal,year,abstract,keywords,type,topic,focus,material_system,material_subclass,manufacturer,instrument,configuration,laser,analysis_mode,pulse_fraction_or_energy,detection_rate,pulse_rate,base_temperature
Layer-thickness dependence of the compositions in strained III–V superlattices by atom probe tomography,"Knipfer, B.; Rajeev, A.; Isheim, D.; Kircha, J.D.; Babcock, S.E.; Kuech, T.F.; Earle, T.; Boteza, D.; Mawst, L.J.",Knipfer,10.1016/j.jcrysgro.2020.125550,Journal of Crystal Growth,2020,"In order to conduction-band engineer quantum cascade lasers (QCLs) for emission wavelength, specific...","A1. Atom probe tomography, A3. Organometallic vapor phase epitaxy, A3. Superlattice, B3. Quantum cascade lasers",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,,,,,Laser,1 pJ,0.2%,500 kHz,30 K
Embrittlement of RPV steels: An atom probe tomography perspective,"Miller, M.K.; Russell, K.F.",Miller,10.1016/j.jnucmat.2007.05.003,Journal of Nuclear Materials,2007,Atom probe tomography has played a key role in the understanding of the embrittlement of neutron irradiated reactor pressure vessel steels through the atomic level characterization of the microstructure.,"Atom probe tomography, RPV steels, embrittlement, neutron irradiation",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,,,,,Voltage,50%,50%,200 kHz,50 K
Nanoscale characterisation of ODS–Eurofer 97 steel: An atom-probe tomography study,"Williams, Ceri A.; Marquis, Emmanuelle A.; Cerezo, Alfred; Smith, George D.W.",Williams,10.1016/j.jnucmat.2010.02.007,Journal of Nuclear Materials,2010,Laser-pulsed atom-probe tomography has been used to study the nanoscale features present in an ODS–Eurofer 97 alloy.,"Atom-probe tomography, ODS-Eurofer 97, Nanoscale characterisation",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,,,,,Laser,0.3–0.5 nJ,N/A,200 kHz,30–50 K
Microstructural evolution of Fe22%Cr model alloy under thermal ageing and ion irradiation conditions studied by atom probe tomography,"Korchuganova, Olesya A.; Thuvander, Mattias; Aleev, Andrey A.; Rogozhkin, Sergey V.; Boll, Torben; Kulevoy, Timur V.",Korchuganova,10.1016/j.jnucmat.2016.05.007,Journal of Nuclear Materials,2016,Nanostructure evolution during ion irradiation of two thermally aged binary Fe22Cr alloys has been investigated using atom probe tomography.,"Atom-probe tomography, FeCr, Phase decomposition, Ion irradiation",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,19%,0.5%,200 kHz,70 K
Analysis of atomic distribution near grain boundary in ZreSneNbeFe-(Cu) alloys by atom probe tomography,"Tao, Boran; Luan, Baifeng; Qiu, Risheng; Fang, Qiang; Cao, Lingfei; Liu, Yushun; Zhang, Xinyu; Liu, Riping; Liu, Qing",Tao,10.1016/j.jnucmat.2018.12.033,Journal of Nuclear Materials,2019,"Atom probe tomography was used to study the distribution of alloying elements near grain boundaries (GBs) in Zr-1.0Sn-0.3Nb-0.3Fe-(0.1Cu) alloys at the early stage of aging after b quenching. Cu was observed to segregate at GBs for the first time. Zr3Fe, Zr3(Fe,Cu) and Zr(Nb,Fe,Cr)2 are precipitated on or near GBs. In addition, the impurity Si is mainly precipitates in the form of second-phase particles (SPPs), forming Zr3(Fe,Si) and Zr3(Fe,Cu,Si).","Atom probe tomography, Grain boundaries segregation, Zirconium alloys, High-Si particles",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Metals and Alloys,,CAMECA,LEAP 4000X Si,Straight Flight Path,355 nm,Laser,70 pJ,N/A,250 kHz,50 K
Characterisation of nano-scale precipitates in BOR60 irradiated T91 steel using atom probe tomography,"Yeli, Guma; Strutt, Victoria C.I.; Auger, M.A.; Bagot, Paul A.J.; Moody, Michael P.",Yeli,10.1016/j.jnucmat.2020.152466,Journal of Nuclear Materials,2021,Atom probe tomography has characterised the microstructural changes in T91 steel after BOR60 reactor irradiation at five temperatures between 376 °C and 524 °C to doses between 14.6 dpa and 35.1 dpa. Irradiation-induced precipitation and segregation to carbide/matrix interface induced by neutron irradiation has been characterised.,"T91 steel, BOR60 reactor, MNS-rich clusters, Atom probe tomography, Ni-Mn-Si-precipitates, reactor pressure vessel steels, irradiation, microscopy",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Voltage,20%,0.52,200 kHz,50-55 K
Nanoscale chemistry of Zircaloy-2 exposed to three and nine annual cycles of boiling water reactor operation — an atom probe tomography study,"Eriksson, J.; Sundell, G.; Tejland, P.; Andrén, H.-O.; Thuvander, M.",Eriksson,10.1016/j.jnucmat.2022.153537,Journal of Nuclear Materials,2022,"In this study of the metal close to the metal/oxide interface in Zircaloy-2 exposed to three and nine annual cycles of operation in a commercial BWR, corresponding to before and after the onset of acceleration in corrosion, hydrogen pickup, and growth, the following observations have been made:","Zirconium alloys, Irradiation, Dislocation loops, Clustering, Boiling water reactor, Atom probe tomography, Zircaloy-2, radiation-induced dislocation loops",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.25-0.50 nJ,0.37,50-250 kHz,20-80 K
"Limits of hydrogen analysis by atom probe tomography targeting Zr(Fe,Cr)2 second phase particles in Zr-based fuel cladding from reactor operation","Mayweg, David; Eriksson, Johan; Sattari, Mohammad; Thuvander, Mattias",Mayweg,10.1016/j.jnucmat.2024.155343,Journal of Nuclear Materials,2024,"We report results from atom probe tomography (APT) experiments capturing Zr(Fe,Cr)2 second phase particles (SPPs) in Zircaloy-2-type fuel cladding after reactor operation. In light of recent reports of H trapping around SPPs, we assess the feasibility of H analysis in modern commercial atom probe instruments on this system.","Atom probe tomography, Hydrogen analysis, Zircaloy, Second phase particles, Cryogenic-FIB, Field ion microscopy, Hydrogen, Zircaloy-2, Fuel Cladding",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,20%,0.2%,250 kHz,92 K
Nanoscale Os isotopic quantification of Wadi Tayin dunite platinum group minerals by atom probe tomography,"Tenuta, Stefano; Evans, Katy A.; Reddy, Steven M.; Saxey, David W.; Tacchetto, Tommaso; Fougerouse, Denis; Sun, Xiao",Tenuta,10.1016/j.lithos.2024.107841,LITHOS,2024,"The results confirm that APT can yield meaningful quantitative isotopic analyses on natural alloys. The high spatial resolution of APT enables analysis of nanometre-scale differences in composition, and differences amongst grains that may record different processes. Such studies are not possible with bulk techniques. Further, the microstructures and geochemical heterogeneity revealed by the sub-micron lateral resolution of APT facilitate interpretation of the origin of the grains. The elemental and Os isotopic composition of the analysed Ruthenium, and its textural setting, are consistent with a mantle origin followed by minor serpentinisation-related modification.","Atom probe, Isotope geochemistry, Serpentinisation, Mantle peridotite, Os-188/Os-187, Platinum group, APT, Atom Probe Tomography, Platinum Group Minerals, Oceanic Crust, Mantle Origin",Journal Article,Materials Science and Application Studies,Other,Geological Materials,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Voltage,110 pJ,0.50%,125 kHz,40 K
Atom probe tomography investigation of highly-enriched 28Si crystal,"Gao, Yu-Ya; Prosa, Ty. J.; Long, Tao; Ren, Tong-Xiang; Rienitz, Olaf; Pramann, Axel; Wang, Song; Wang, Jun; Liu, Dun-Yi",Gao,10.1016/j.microc.2024.111624,Microchemical Journal,2024,"As part of the Avogadro constant re-determination, the molar mass of a highly-enriched 28Si crystal is being determined using various mass-spectrometry techniques.","Atom probe tomography, Isotopic purity, Nanoscale, Highly-enriched 28Si crystal",Journal Article,Materials Science and Application Studies,Other,,,,,,,Laser,0.04-0.12 nJ,8.8%,200 kHz,5.5 K
Atom probe tomography study on Ge1 −x −ySnxCy hetero-epitaxial film on Ge substrates,"Kamiyama, Eiji; Sueoka, Koji; Terasawa, Kengo; Yamaha, Takashi; Nakatsuka, Osamu; Zaima, Shigeaki; Izunome, Koji; Kashima, Kazuhiko; Uchida, Hiroshi",Kamiyama,10.1016/j.tsf.2015.09.002,Thin Solid Films,2015,We analyzed the incorporation of C atoms into a ternary alloy Ge1 −x −ySnxCy epitaxial film on Ge substrates on a sub-nanometer scale by using atom probe tomography.,"Atom probe tomography, Ge1 −x −ySnxCy film, Magnetron sputtering, Zigzag chain, Binding energy",Journal Article,Materials Science and Application Studies,Precipitation,Semiconductors,,,,,,Laser,20 pJ,N/A,N/A,20 K
Atom probe tomography of segregation at grain boundaries and gas bubbles in neutron irradiated U-10 wt% Mo fuel,"Arivu, Maalavan; Hoffman, Andrew; Bachhav, Mukesh; Aitkaliyeva, Assel; Wu, Yaqiao; Miller, Brandon; Keiser, Dennis; Gan, Jian; Wen, Haiming",Arivu,10.1016/j.matlet.2024.136414,Materials Letters,2024,"During neutron irradiation to fission densities > 5.2 × 1021 fiss/cm3, Xe agglomerates forming gas bubbles of varying size within the U-Mo fuel matrix. Herein, segregation of fission products to Xe bubbles and grain boundaries (GB) were studied using atom probe tomography (APT). Segregation behavior was found to vary among GBs, small bubbles (<10 nm), and larger bubbles (>10 nm). Solid fission products were enriched at GBs and larger bubbles, but not at small bubbles. A denuded zone was identified adjacent to a > 10 nm Xe gas bubble and a GB.","Atom probe tomography, Neutron irradiation, U-10 wt% Mo fuel, Grain boundaries, Gas bubbles, Fission products",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Metals and Alloys,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Laser,20-50 pJ,0.5-1%,200 kHz,20 K
Revealing nanoscale molecular organization in Liquid Crystals via cryogenic Atom Probe Tomography,"Meng, Kuan; Wang, Kang'An; Eich, Sebastian; Nacke, Pierre; Bruckner, Johanna R.; Stender, Patrick; Giesselmann, Frank; Schmitz, Guido",Meng,10.1016/j.molliq.2026.129358,Journal of Molecular Liquids,2026,"In this work, we present the first application of cryo-APT to thermotropic LC systems by overcoming the two central bottlenecks that have so far limited APT studies of soft molecular systems: specimen fabrication from a liquid state with controlled tip geometry, and reliable interpretation of field-driven molecular signals.","Cryo-atom probe tomography, Cryo-focused ion beam, Soft matters, Molecular liquids, Liquid crystals, Cyanobiphenyls, cryo-APT, thermotropic LC systems, specimen fabrication, field-driven molecular signals",Journal Article,Materials Science and Application Studies,Other,,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,50 pJ,0.5%,200 kHz,50 K
Diffusivity of nickel in Fe under 2.8 MeV Fe2+ irradiation at 400 ℃ studied by atom probe tomography,"Chen, Xinrun; Suzuki, Tatsuya; Nguyen, Ba Vu Chinh; Yang, Huilong; Chen, Liang; Murakami, Kenta",Chen,10.1016/j.nimb.2025.165888,"Nuclear Instruments and Methods in Physics Research, B",2025,"In this study, a high-precision measurement method for measuring the solute diffusivity in Fe on solute-Fe pairs under irradiation at lower temperatures (temperature range near the operation temperature of about 300 ℃) was successfully proposed and was initially demonstrated to be feasible using Ni diffusion into Fe at 400 ℃ under irradiation.","Nickel in iron, Diffusivity, Irradiation, Atom probe tomography, radiation-enhanced diffusion, Ni in Fe",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Laser,200 pJ,0.4,250 kHz,35 K
Atom probe tomography investigation of 3D nanoscale compositional variations in CVD TiAlN nanolamella coatings,"Qiu, Ren; Aboulfadl, Hisham; Bäcke, Olof; Stiens, Dirk; Andrén, Hans-Olof; Halvarsson, Mats",Qiu,10.1016/j.surfcoat.2021.127741,Surface & Coatings Technology,2021,"The cubic (Ti1−xAlx)Ny (TiAlN) phase with a nanolamella structure, synthesized via low pressure chemical vapour deposition (LPCVD), has been widely used in wear-resistant coatings during the latest years.","CVD, Coatings, APT, TEM, TiAlN, LPCVD, nanolamella coatings, gas flow",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.5 nJ,0.2%,200 kHz,60 K
Influence of multiple detection events on compositional accuracy of TiN coatings in atom probe tomography,"Schiester, Maximilian; Waldl, Helene; Hans, Marcus; Thuvander, Mattias; Primetzhofer, Daniel; Schalk, Nina; Tkadletz, Michael",Schiester,10.1016/j.surfcoat.2023.130318,Surface & Coatings Technology,2024,The accuracy of composition measurements by atom probe tomography is often dependent on the selected operation mode as well as the applied measurement parameters.,"Atom probe tomography, TiN, Compositional accuracy, Multiple detection events, Electric field strength",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage and Laser,20%,1%,200 kHz,60 K
